edition,year,gender,length,type,round,Rank,Lane,Country,Athlete,Age,RT,Time,Time Behind,Points
14,11,m,50,breaststroke,final,6,8,USA,GANGLOFF Mark,,0.67,27.58,0.57,
14,11,m,50,breaststroke,final,7,7,NED,STEKELENBURG Lennart,,0.66,27.65,0.64,
14,11,m,50,breaststroke,final,8,2,SLO,DUGONJIC Damir,,0.72,28,0.99,
14,11,m,50,butterfly,final,1,4,BRA,CIELO FILHO Cesar,,0.66,23.1,0,
14,11,m,50,butterfly,final,2,1,AUS,TARGETT Matthew,,0.67,23.28,0.18,
14,11,m,50,butterfly,final,3,5,AUS,HUEGILL Geoff,,0.66,23.35,0.25,
14,11,m,50,butterfly,final,4,8,FRA,BOUSQUET Frederick,,0.71,23.38,0.28,
14,11,m,50,butterfly,final,5,3,FRA,MANAUDOU Florent,,0.63,23.49,0.39,
14,11,m,50,butterfly,final,6,2,GER,DEIBLER Steffen,,0.66,23.55,0.45,
14,11,m,50,butterfly,final,7,6,KEN,DUNFORD Jason,,0.68,23.6,0.5,
14,11,m,50,butterfly,final,8,7,UKR,GOVOROV Andriy,,0.66,23.64,0.54,
14,11,m,50,freestyle,final,1,5,BRA,CIELO FILHO Cesar,,0.63,21.52,0,
14,11,m,50,freestyle,final,2,6,ITA,DOTTO Luca,,0.63,21.9,0.38,
14,11,m,50,freestyle,final,3,8,FRA,BERNARD Alain,,0.65,21.92,0.4,
14,11,m,50,freestyle,final,4,3,USA,ADRIAN Nathan,,0.64,21.93,0.41,
14,11,m,50,freestyle,final,5,4,BRA,FRATUS Bruno,,0.67,21.96,0.44,
14,11,m,50,freestyle,final,6,2,HUN,TAKACS Krisztian,,0.65,21.99,0.47,
14,11,m,50,freestyle,final,7,1,TRI,BOVELL George,,0.69,22.04,0.52,
14,11,m,50,freestyle,final,8,7,RSA,LOUW Gideon,,0.71,22.11,0.59,
14,11,w,50,freestyle,final,1,3,SWE,ALSHAMMAR Therese,,0.65,24.14,0,
14,11,w,50,freestyle,final,2,4,NED,KROMOWIDJOJO Ranomi,,0.7,24.27,0.13,
14,11,w,50,freestyle,final,3,7,NED,VELDHUIS Marleen,,0.7,24.49,0.35,
14,11,w,50,freestyle,final,4,2,GBR,HALSALL Francesca,,0.7,24.6,0.46,
14,11,w,50,freestyle,final,5,6,BLR,HERASIMENIA Aliaksandra,,0.68,24.65,0.51,
14,11,w,50,freestyle,final,6,5,DEN,OTTESEN Jeanette,,0.64,24.67,0.53,
14,11,w,50,freestyle,final,7,8,BAH,VANDERPOOLWALLACE Arianna,,0.66,24.79,0.65,
14,11,w,50,freestyle,final,8,1,USA,HARDY Jessica,,0.71,24.87,0.73,
14,11,w,50,butterfly,final,1,5,NED,DEKKER Inge,,0.7,25.71,0,
14,11,w,50,butterfly,final,2,4,SWE,ALSHAMMAR Therese,,0.67,25.76,0.05,
14,11,w,50,butterfly,final,3,1,FRA,HENIQUE Melanie,,0.61,25.86,0.15,
14,11,w,50,butterfly,final,4,3,CHN,LU Ying,,0.71,25.87,0.16,
14,11,w,50,butterfly,final,5,6,SWE,SJOESTROEM Sarah,,0.71,25.87,0.16,
14,11,w,50,butterfly,final,6,2,JPN,KATO Yuka,,0.73,26.02,0.31,
14,11,w,50,butterfly,final,7,8,USA,VOLLMER Dana,,0.75,26.06,0.35,
14,11,w,50,butterfly,final,8,7,AUS,GUEHRER Marieke,,0.68,26.21,0.5,
14,11,w,50,backstroke,final,1,4,RUS,ZUEVA Anastasia,,0.66,27.79,0,
14,11,w,50,backstroke,final,2,1,JPN,TERAKAWA Aya,,0.53,27.93,0.14,
14,11,w,50,backstroke,final,3,7,USA,FRANKLIN Melissa,,0.61,28.01,0.22,
14,11,w,50,backstroke,final,4,6,CHN,GAO Chang,,0.59,28.06,0.27,
14,11,w,50,backstroke,final,5,8,AUS,SEEBOHM Emily,,0.66,28.07,0.28,
14,11,w,50,backstroke,final,6,2,CAN,WILKINSON Julia,,0.65,28.09,0.3,
14,11,w,50,backstroke,final,7,3,BLR,HERASIMENIA Aliaksandra,,0.68,28.09,0.3,
14,11,w,50,backstroke,final,8,5,ESP,PERIS MINGUET Mercedes,,0.64,28.42,0.63,
14,11,w,50,breaststroke,final,1,4,USA,HARDY Jessica,,0.67,30.19,0,
14,11,w,50,breaststroke,final,2,3,RUS,EFIMOVA Yuliya,,0.75,30.49,0.3,
14,11,w,50,breaststroke,final,3,5,USA,SONI Rebecca,,0.76,30.58,0.39,
14,11,w,50,breaststroke,final,4,6,AUS,PICKETT Leiston,,0.74,30.74,0.55,
14,11,w,50,breaststroke,final,5,7,SWE,JOHANSSON Jennie,,0.73,30.89,0.7,
14,11,w,50,breaststroke,final,6,2,AUS,JONES Leisel,,0.71,31.01,0.82,
14,11,w,50,breaststroke,final,7,1,NED,NIJHUIS Moniek,,0.81,31.33,1.14,
14,11,w,50,breaststroke,final,8,8,SWE,EJDERVIK Rebecca,,0.73,31.45,1.26,
